dim_site_id,dim_source,dim_load_date,site_name,on_sitehousing,createdon,updatedon,verificationlevel,visiting_country,visiting_region,is_certification_scope
AF1CA93662D83EFBC2C1ADB4F7D500DE,RACP,09/09/22 12:26:00,Site 995416,No,01/01/00 00:00:00,05/05/22 08:48:00,,China,Asia and Pacific,TRUE
AF1DC25B8E7CC6DA4ECD938C76C74235,RACP,09/09/22 12:26:00,Site 468756,Yes,04/21/22 08:09:00,12/29/21 01:07:00,Not Applicable,Costa Rica,Latin America,TRUE
AF398BAA1C105BF70D6F853EE6E0F581,RACP,09/09/22 12:26:00,Site 219283,,06/21/22 19:32:00,06/21/22 20:21:00,Not Applicable,Ethiopia,Africa,TRUE
AFA46702FDFB7FEBCCA50F6DC0C589AD,RACP,09/09/22 12:26:00,Site 552145,,08/10/22 17:28:00,08/10/22 17:29:00,Not Applicable,Mexico,Latin America,TRUE
AFD12703C7F09948F4C349FF6799167A,RACP,09/09/22 12:26:00,Site 587199,No,04/21/22 08:08:00,01/06/22 10:16:00,Not Applicable,Kenya,Africa,TRUE
B067075A0DAF4EBDEC6B733DA5632CB0,RACP,09/09/22 12:26:00,Site 282672,Yes,04/21/22 08:08:00,01/27/22 15:44:00,Not Applicable,India,Asia and Pacific,TRUE
B06860FB76A01C5E3CAD9BBF3013A877,RACP,09/09/22 12:26:00,Site 648231,Yes,01/01/00 00:00:00,05/05/22 08:48:00,,China,Asia and Pacific,TRUE
B0943E99280019047945166AD1C427D6,RACP,09/09/22 12:26:00,Site 338396,No,01/01/00 00:00:00,08/05/22 22:16:00,,Guatemala,Latin America,TRUE
B0C7A552AA25A9F7B911F32984F8A8B2,RACP,09/09/22 12:26:00,Site 771331,No,04/21/22 08:08:00,12/21/21 19:16:00,A-Very Low,United Kingdom of Great Britain and Northern Ireland (the),Europe,TRUE
B0E0FA0F256C36770A862ABE4EC5A807,RACP,09/09/22 12:26:00,Site 786757,No,06/06/22 17:55:00,06/06/22 17:58:00,B-Low,Belgium,Europe,TRUE
B0E3CD627A81CEECD417E04F6D1EC83F,RACP,09/09/22 12:26:00,Site 933191,No,04/21/22 08:09:00,10/29/21 05:26:00,Not Applicable,India,Asia and Pacific,TRUE
B121B042175ADB539C11D43A6536A1CF,RACP,09/09/22 12:26:00,Site 533636,,06/14/22 22:31:00,06/14/22 22:39:00,Not Applicable,Ghana,Africa,TRUE
B13B0837203D0CA018F3E9339DFBCF85,RACP,09/09/22 12:26:00,Site 165389,No,04/21/22 08:10:00,01/01/00 00:00:00,Not Applicable,India,Asia and Pacific,TRUE
B143D7B215AAC69522D0B9576F47FEC3,RACP,09/09/22 12:26:00,Site 782233,No,04/21/22 08:08:00,02/28/22 06:05:00,Not Applicable,China,Asia and Pacific,TRUE
B173FE0E3D6AA717B2B73A8E7227F4BB,RACP,09/09/22 12:26:00,Site 420448,No,01/01/00 00:00:00,08/05/22 22:17:00,,Panama,Latin America,TRUE
B1AECD5279361A9149E0C88201988D00,RACP,09/09/22 12:26:00,Site 198436,No,05/24/22 14:17:00,06/06/22 17:58:00,D-High,Belgium,Europe,TRUE
